Country,Year,Value
United States,1991,2.0541
United States,1990,2.0692
United States,1989,2.0051
United States,1988,1.929
United States,1987,1.8667
United States,1986,1.833
United States,1985,1.835
United States,1984,1.8022
United States,1983,1.7951
United States,1982,1.8202
United States,1981,1.808
United States,1980,1.8308
United States,1979,1.801
United States,1978,1.7581
United States,1977,1.7786
United States,1976,1.7371
United States,1975,1.7688
United States,1974,1.8277
United States,1973,1.8748
