Country,Year,Value
Western Europe,2010,1.6751
Western Europe,2009,1.648
Western Europe,2008,1.6556
Western Europe,2007,1.6308
Western Europe,2006,1.6227
Western Europe,2005,1.6015
Western Europe,2004,1.6007
Western Europe,2003,1.5803
Western Europe,2002,1.5743
Western Europe,2001,1.5772
Western Europe,2000,1.5918
Western Europe,1999,1.5506
Western Europe,1998,1.5313
Western Europe,1997,1.5094
Western Europe,1996,1.4869
Western Europe,1995,1.4474
Western Europe,1994,1.4363
Western Europe,1993,1.4595
Western Europe,1992,1.4983
Western Europe,1991,1.5306
Western Europe,1990,1.575
Western Europe,1989,1.5745
Western Europe,1988,1.5877
Western Europe,1987,1.5789
Western Europe,1986,1.5778
Western Europe,1985,1.5549
Western Europe,1984,1.5582
Western Europe,1983,1.574
Western Europe,1982,1.6506
Western Europe,1981,1.6863
Western Europe,1980,1.6963
