Name,Height,Pos,Team,Weight,cluster
E'Twaun Moore,190.0,SG,CHI,85.95,1
Evan Fournier,197.5,SG,ORL,92.25,4
Evan Turner,207.5,C,GSW,114.75,2
Francisco Garcia,197.5,SF,HOU,87.75,4
Furkan Aldemir,205.0,PF,PHI,108.0,0
Gal Mekel,187.5,PG,NOH,85.95,1
Garrett Temple,195.0,SG,WAS,87.75,1
Gary Harris,190.0,SG,DEN,94.5,4
Gary Neal,190.0,SG,MIN,94.5,4
George Hill,187.5,PG,IND,84.6,1
Gerald Green,197.5,SG,PHO,92.25,4
Gerald Henderson,192.5,SG,CHA,96.75,4
Giannis Antetokounmpo,207.5,SG,MIL,99.9,0
Glen Davis,202.5,PF,LAC,130.05,2
Glen Rice,195.0,SG,WAS,92.7,4
Goran Dragic,187.5,SG,PHO,85.5,1
Gordon Hayward,200.0,SF,UTA,101.7,0
Gorgui Dieng,207.5,C,MIN,108.45,0
Grant Jerrett,205.0,PF,UTA,105.75,0
Greg Monroe,207.5,PF,DET,119.25,2
Greg Smith,205.0,PF,DAL,112.5,2
Greg Stiemsma,207.5,C,TOR,117.0,2
Greivis Vasquez,195.0,PG,TOR,97.65,4
Harrison Barnes,200.0,SF,GSW,94.5,4
Ian Clark,187.5,SG,UTA,78.75,3
Ian Mahinmi,207.5,C,IND,112.5,2
Iman Shumpert,192.5,SG,NYK,99.0,4
Isaiah Canaan,180.0,PG,PHI,90.45,1
Isaiah Thomas,172.5,PG,BOS,83.25,3
J.J. Barea,180.0,PG,DAL,83.25,3
Jabari Brown,190.0,SG,LAL,96.75,4
Jack Cooley,202.5,PF,UTA,117.0,2
Jae Crowder,195.0,SF,DAL,105.75,0
Jamaal Franklin,192.5,SG,DEN,85.95,1
Jamal Crawford,192.5,SG,LAC,90.0,1
Jameer Nelson,180.0,PG,DAL,85.5,3
James Ennis III,197.5,SF,MIA,94.5,4
James Harden,192.5,SG,HOU,99.0,4
James Johnson,202.5,PF,TOR,112.5,2
James Jones,200.0,SF,CLE,98.1,4
James Michael McAdoo,202.5,PF,GSW,103.5,0
JaMychal Green,202.5,PF,SAS,102.15,0
Jannero Pargo,182.5,PG,CHA,78.75,3
Jared Cunningham,190.0,SG,LAC,87.75,1
Jared Dudley,197.5,SG,MIL,101.25,4
Jared Sullinger,202.5,PF,BOS,117.0,2
Jarrett Jack,187.5,PG,NJN,90.0,1
Jason Maxiell,197.5,PF,CHA,117.0,2
Jason Richardson,195.0,SG,PHI,99.0,4
